"","name","dict"
"danknull:dank_null_0:0","danknull:dank_null_0:0",""
"danknull:dank_null_1:0","danknull:dank_null_1:0",""
"danknull:dank_null_2:0","danknull:dank_null_2:0",""
"danknull:dank_null_3:0","danknull:dank_null_3:0",""
"danknull:dank_null_4:0","danknull:dank_null_4:0",""
"danknull:dank_null_5:0","danknull:dank_null_5:0",""
"danknull:dank_null_6:0","danknull:dank_null_6:0",""
"danknull:dank_null_panel_0:0","danknull:dank_null_panel_0:0",""
"danknull:dank_null_panel_1:0","danknull:dank_null_panel_1:0",""
"danknull:dank_null_panel_2:0","danknull:dank_null_panel_2:0",""
"danknull:dank_null_panel_3:0","danknull:dank_null_panel_3:0",""
"danknull:dank_null_panel_4:0","danknull:dank_null_panel_4:0",""
"danknull:dank_null_panel_5:0","danknull:dank_null_panel_5:0",""
"danknull:danknull_dock:0","danknull:danknull_dock:0",""
"ae2fc:burette:0","ae2fc:burette:0",""
"ae2fc:dense_craft_encoded_pattern:0","ae2fc:dense_craft_encoded_pattern:0",""
"ae2fc:dense_encoded_pattern:0","ae2fc:dense_encoded_pattern:0",""
"ae2fc:dual_interface:0","ae2fc:dual_interface:0",""
"ae2fc:fluid_assembler:0","ae2fc:fluid_assembler:0",""
"ae2fc:fluid_discretizer:0","ae2fc:fluid_discretizer:0",""
"ae2fc:fluid_drop:0","ae2fc:fluid_drop:0",""
"ae2fc:fluid_level_maintainer:0","ae2fc:fluid_level_maintainer:0",""
"ae2fc:fluid_packet:0","ae2fc:fluid_packet:0",""
"ae2fc:fluid_packet_decoder:0","ae2fc:fluid_packet_decoder:0",""
"ae2fc:fluid_pattern_encoder:0","ae2fc:fluid_pattern_encoder:0",""
"ae2fc:ingredient_buffer:0","ae2fc:ingredient_buffer:0",""
"ae2fc:large_ingredient_buffer:0","ae2fc:large_ingredient_buffer:0",""
"ae2fc:large_item_encoded_pattern:0","ae2fc:large_item_encoded_pattern:0",""
"ae2fc:part_dual_interface:0","ae2fc:part_dual_interface:0",""
"ae2fc:part_fluid_pattern_ex_terminal:0","ae2fc:part_fluid_pattern_ex_terminal:0",""
"ae2fc:part_fluid_pattern_terminal:0","ae2fc:part_fluid_pattern_terminal:0",""
"ae2fc:ultimate_encoder:0","ae2fc:ultimate_encoder:0",""
"ae2fc:wireless_fluid_pattern_terminal:0","ae2fc:wireless_fluid_pattern_terminal:0",""
"ae2stuff:grower:0","ae2stuff:grower:0",""
"ae2stuff:inscriber:0","ae2stuff:inscriber:0",""
"ae2stuff:visualiser:0","ae2stuff:visualiser:0",""
"ae2stuff:wireless:0","ae2stuff:wireless:0",""
"ae2stuff:wireless_kit:0","ae2stuff:wireless_kit:0",""
"appliedenergistics2:biometric_card:0","appliedenergistics2:biometric_card:0",""
"appliedenergistics2:cable_bus:0","appliedenergistics2:cable_bus:0",""
"appliedenergistics2:cell_workbench:0","appliedenergistics2:cell_workbench:0",""
"appliedenergistics2:certus_quartz_cutting_knife:0","appliedenergistics2:certus_quartz_cutting_knife:0","itemQuartzKnife"
"appliedenergistics2:certus_quartz_wrench:0","appliedenergistics2:certus_quartz_wrench:0","itemQuartzWrench"
"appliedenergistics2:charger:0","appliedenergistics2:charger:0",""
"appliedenergistics2:chest:0","appliedenergistics2:chest:0",""
"appliedenergistics2:chiseled_quartz_block:0","appliedenergistics2:chiseled_quartz_block:0",""
"appliedenergistics2:chiseled_quartz_slab:0","appliedenergistics2:chiseled_quartz_slab:0",""
"appliedenergistics2:chiseled_quartz_stairs:0","appliedenergistics2:chiseled_quartz_stairs:0",""
"appliedenergistics2:condenser:0","appliedenergistics2:condenser:0",""
"appliedenergistics2:controller:0","appliedenergistics2:controller:0",""
"appliedenergistics2:crafting_accelerator:0","appliedenergistics2:crafting_accelerator:0",""
"appliedenergistics2:crafting_monitor:0","appliedenergistics2:crafting_monitor:0",""
"appliedenergistics2:crafting_storage_16k:0","Missing[]","Missing[]"
"appliedenergistics2:crafting_storage_1k:0","Missing[]","Missing[]"
"appliedenergistics2:crafting_storage_4k:0","Missing[]","Missing[]"
"appliedenergistics2:crafting_storage_64k:0","Missing[]","Missing[]"
"appliedenergistics2:crafting_unit:0","appliedenergistics2:crafting_unit:0",""
"appliedenergistics2:creative_energy_cell:0","appliedenergistics2:creative_energy_cell:0",""
"appliedenergistics2:creative_storage_cell:0","appliedenergistics2:creative_storage_cell:0",""
"appliedenergistics2:crystal_seed:0","appliedenergistics2:crystal_seed:0",""
"appliedenergistics2:crystal_seed:600","appliedenergistics2:crystal_seed:600",""
"appliedenergistics2:crystal_seed:1200","appliedenergistics2:crystal_seed:1200",""
"appliedenergistics2:dense_energy_cell:0","appliedenergistics2:dense_energy_cell:0",""
"appliedenergistics2:drive:0","appliedenergistics2:drive:0",""
"appliedenergistics2:dummy_fluid_item:0","appliedenergistics2:dummy_fluid_item:0",""
"appliedenergistics2:encoded_pattern:0","appliedenergistics2:encoded_pattern:0",""
"appliedenergistics2:energy_acceptor:0","appliedenergistics2:energy_acceptor:0",""
"appliedenergistics2:energy_cell:0","appliedenergistics2:energy_cell:0",""
"appliedenergistics2:facade:0","appliedenergistics2:facade:0",""
"appliedenergistics2:fluid_interface:0","appliedenergistics2:fluid_interface:0",""
"appliedenergistics2:fluid_storage_cell_16k:0","Missing[]","Missing[]"
"appliedenergistics2:fluid_storage_cell_1k:0","Missing[]","Missing[]"
"appliedenergistics2:fluid_storage_cell_4k:0","Missing[]","Missing[]"
"appliedenergistics2:fluid_storage_cell_64k:0","Missing[]","Missing[]"
"appliedenergistics2:fluix_block:0","appliedenergistics2:fluix_block:0",""
"appliedenergistics2:fluix_slab:0","appliedenergistics2:fluix_slab:0",""
"appliedenergistics2:fluix_stairs:0","appliedenergistics2:fluix_stairs:0",""
"appliedenergistics2:inscriber:0","appliedenergistics2:inscriber:0",""
"appliedenergistics2:interface:0","appliedenergistics2:interface:0",""
"appliedenergistics2:io_port:0","appliedenergistics2:io_port:0",""
"appliedenergistics2:light_detector:0","appliedenergistics2:light_detector:0",""
"appliedenergistics2:material:0","appliedenergistics2:material:0","crystalCertusQuartz"
"appliedenergistics2:material:1","appliedenergistics2:material:1",""
"appliedenergistics2:material:2","appliedenergistics2:material:2","dustCertusQuartz"
"appliedenergistics2:material:3","appliedenergistics2:material:3","dustNetherQuartz,dustQuartz"
"appliedenergistics2:material:4","appliedenergistics2:material:4","dustWheat"
"appliedenergistics2:material:5","appliedenergistics2:material:5","itemSilicon"
"appliedenergistics2:material:6","appliedenergistics2:material:6",""
"appliedenergistics2:material:7","appliedenergistics2:material:7","crystalFluix"
"appliedenergistics2:material:8","appliedenergistics2:material:8","dustFluix"
"appliedenergistics2:material:9","appliedenergistics2:material:9","pearlFluix"
"appliedenergistics2:material:10","appliedenergistics2:material:10","crystalPureCertusQuartz"
"appliedenergistics2:material:11","appliedenergistics2:material:11","crystalPureNetherQuartz"
"appliedenergistics2:material:12","appliedenergistics2:material:12","crystalPureFluix"
"appliedenergistics2:material:13","appliedenergistics2:material:13",""
"appliedenergistics2:material:14","appliedenergistics2:material:14",""
"appliedenergistics2:material:15","appliedenergistics2:material:15",""
"appliedenergistics2:material:16","appliedenergistics2:material:16",""
"appliedenergistics2:material:17","appliedenergistics2:material:17",""
"appliedenergistics2:material:18","appliedenergistics2:material:18",""
"appliedenergistics2:material:19","appliedenergistics2:material:19",""
"appliedenergistics2:material:20","appliedenergistics2:material:20",""
"appliedenergistics2:material:21","appliedenergistics2:material:21",""
"appliedenergistics2:material:22","appliedenergistics2:material:22",""
"appliedenergistics2:material:23","appliedenergistics2:material:23",""
"appliedenergistics2:material:24","appliedenergistics2:material:24",""
"appliedenergistics2:material:25","appliedenergistics2:material:25",""
"appliedenergistics2:material:26","appliedenergistics2:material:26",""
"appliedenergistics2:material:27","appliedenergistics2:material:27",""
"appliedenergistics2:material:28","appliedenergistics2:material:28",""
"appliedenergistics2:material:29","appliedenergistics2:material:29",""
"appliedenergistics2:material:30","appliedenergistics2:material:30",""
"appliedenergistics2:material:31","appliedenergistics2:material:31",""
"appliedenergistics2:material:32","Missing[]","Missing[]"
"appliedenergistics2:material:33","Missing[]","Missing[]"
"appliedenergistics2:material:34","Missing[]","Missing[]"
"appliedenergistics2:material:35","Missing[]","Missing[]"
"appliedenergistics2:material:36","Missing[]","Missing[]"
"appliedenergistics2:material:37","Missing[]","Missing[]"
"appliedenergistics2:material:38","Missing[]","Missing[]"
"appliedenergistics2:material:39","appliedenergistics2:material:39",""
"appliedenergistics2:material:41","appliedenergistics2:material:41",""
"appliedenergistics2:material:42","appliedenergistics2:material:42",""
"appliedenergistics2:material:43","appliedenergistics2:material:43",""
"appliedenergistics2:material:44","appliedenergistics2:material:44",""
"appliedenergistics2:material:45","appliedenergistics2:material:45",""
"appliedenergistics2:material:46","appliedenergistics2:material:46","dustEnder,dustEnderPearl"
"appliedenergistics2:material:47","appliedenergistics2:material:47",""
"appliedenergistics2:material:48","appliedenergistics2:material:48",""
"appliedenergistics2:material:49","appliedenergistics2:material:49","dustIron"
"appliedenergistics2:material:51","appliedenergistics2:material:51","dustGold"
"appliedenergistics2:material:52","appliedenergistics2:material:52",""
"appliedenergistics2:material:53","appliedenergistics2:material:53",""
"appliedenergistics2:material:54","Missing[]","Missing[]"
"appliedenergistics2:material:55","Missing[]","Missing[]"
"appliedenergistics2:material:56","Missing[]","Missing[]"
"appliedenergistics2:material:57","Missing[]","Missing[]"
"appliedenergistics2:material:58","appliedenergistics2:material:58",""
"appliedenergistics2:material:59","appliedenergistics2:material:59",""
"appliedenergistics2:material:60","appliedenergistics2:material:60",""
"appliedenergistics2:material:61","appliedenergistics2:material:61",""
"appliedenergistics2:matrix_frame:0","appliedenergistics2:matrix_frame:0",""
"appliedenergistics2:matter_cannon:0","appliedenergistics2:matter_cannon:0",""
"appliedenergistics2:memory_card:0","appliedenergistics2:memory_card:0",""
"appliedenergistics2:molecular_assembler:0","appliedenergistics2:molecular_assembler:0",""
"appliedenergistics2:nether_quartz_cutting_knife:0","appliedenergistics2:nether_quartz_cutting_knife:0","itemQuartzKnife"
"appliedenergistics2:nether_quartz_wrench:0","appliedenergistics2:nether_quartz_wrench:0","itemQuartzWrench"
"appliedenergistics2:network_tool:0","appliedenergistics2:network_tool:0",""
"appliedenergistics2:part:0","appliedenergistics2:part:0",""
"appliedenergistics2:part:1","appliedenergistics2:part:1",""
"appliedenergistics2:part:2","appliedenergistics2:part:2",""
"appliedenergistics2:part:3","appliedenergistics2:part:3",""
"appliedenergistics2:part:4","appliedenergistics2:part:4",""
"appliedenergistics2:part:5","appliedenergistics2:part:5",""
"appliedenergistics2:part:6","appliedenergistics2:part:6",""
"appliedenergistics2:part:7","appliedenergistics2:part:7",""
"appliedenergistics2:part:8","appliedenergistics2:part:8",""
