"Registry name","Meta/dmg","Display name","Ore Dict Keys","NBT"
"actuallyadditions:block_misc",2,"Block of Black Quartz","blockQuartzBlack",""
"actuallyadditions:block_misc",3,"Black Quartz Ore","oreQuartzBlack",""
"actuallyadditions:block_misc",5,"Block of Charcoal","blockCharcoal",""
"actuallyadditions:item_canola_seed",0,"Canola Seeds","seedCanola",""
"actuallyadditions:item_coffee_beans",0,"Coffee Beans","cropCoffee",""
"actuallyadditions:item_coffee_seed",0,"Coffee Seeds","seedCoffee",""
"actuallyadditions:item_dust",0,"Crushed Iron","dustIron",""
"actuallyadditions:item_dust",1,"Crushed Gold","dustGold",""
"actuallyadditions:item_dust",2,"Crushed Diamond","dustDiamond",""
"actuallyadditions:item_dust",3,"Crushed Emerald","dustEmerald",""
"actuallyadditions:item_dust",4,"Crushed Lapis","dustLapis",""
"actuallyadditions:item_dust",5,"Crushed Quartz","dustNetherQuartz,dustQuartz",""
"actuallyadditions:item_dust",6,"Crushed Coal","dustCoal",""
"actuallyadditions:item_dust",7,"Crushed Black Quartz","dustQuartzBlack",""
"actuallyadditions:item_flax_seed",0,"Flax Seeds","seedFlax",""
"actuallyadditions:item_food",16,"Rice","cropRice",""
"actuallyadditions:item_misc",5,"Black Quartz","gemQuartzBlack",""
"actuallyadditions:item_misc",12,"Rice Slimeball","slimeball",""
"actuallyadditions:item_misc",13,"Canola","cropCanola",""
"actuallyadditions:item_misc",17,"Black Dye","dye,dyeBlack",""
"actuallyadditions:item_rice_seed",0,"Rice Seeds","seedRice",""
"advancedrocketry:alienleaves",0,"Lightwood Leaves","treeLeaves",""
"advancedrocketry:aliensapling",0,"Lightwood Sapling","treeSapling",""
"advancedrocketry:alienwood",0,"Lightwood Wood","logWood",""
"advancedrocketry:concrete",0,"Concrete","concrete",""
"advancedrocketry:lens",0,"Basic Lens","itemLens,lensPrecisionLaserEtcher",""
"advancedrocketry:metal0",0,"Titanium Aluminide Block","blockTitaniumAluminide",""
"advancedrocketry:metal0",1,"Titanium Iridium Alloy Block","blockTitaniumIridium",""
"advancedrocketry:misc",1,"Carbon Brick","ingotCarbon",""
"advancedrocketry:moonturf",0,"Moon Turf","turfMoon",""
"advancedrocketry:moonturf_dark",0,"Dark Moon Turf","turfMoon",""
"advancedrocketry:planks",0,"Lightwood planks","plankWood",""
"advancedrocketry:productdust",0,"Titanium Aluminide Dust","dustTitaniumAluminide",""
"advancedrocketry:productdust",1,"Titanium Iridium Alloy Dust","dustTitaniumIridium",""
"advancedrocketry:productgear",0,"Titanium Aluminide Gear","gearTitaniumAluminide",""
"advancedrocketry:productgear",1,"Titanium Iridium Alloy Gear","gearTitaniumIridium",""
"advancedrocketry:productingot",0,"Titanium Aluminide Ingot","ingotTitaniumAluminide",""
"advancedrocketry:productingot",1,"Titanium Iridium Alloy Ingot","ingotTitaniumIridium",""
"advancedrocketry:productnugget",0,"Titanium Aluminide Nugget","nuggetTitaniumAluminide",""
"advancedrocketry:productnugget",1,"Titanium Iridium Alloy Nugget","nuggetTitaniumIridium",""
"advancedrocketry:productplate",0,"Titanium Aluminide Plate","plateTitaniumAluminide",""
"advancedrocketry:productplate",1,"Titanium Iridium Alloy Plate","plateTitaniumIridium",""
"advancedrocketry:productrod",0,"Titanium Aluminide Rod","stickTitaniumAluminide",""
"advancedrocketry:productrod",1,"Titanium Iridium Alloy Rod","stickTitaniumIridium",""
"advancedrocketry:productsheet",0,"Titanium Aluminide Sheet","sheetTitaniumAluminide",""
"advancedrocketry:productsheet",1,"Titanium Iridium Alloy Sheet","sheetTitaniumIridium",""
"advancedrocketry:thermite",0,"Thermite","dustThermite",""
"advancedrocketry:wafer",0,"Silicon Wafer","waferSilicon",""
"appliedenergistics2:certus_quartz_cutting_knife",0,"Certus Quartz Cutting Knife","itemQuartzKnife",""
"appliedenergistics2:certus_quartz_wrench",0,"Certus Quartz Wrench","itemQuartzWrench",""
"appliedenergistics2:material",0,"Certus Quartz Crystal","crystalCertusQuartz",""
"appliedenergistics2:material",2,"Certus Quartz Dust","dustCertusQuartz",""
"appliedenergistics2:material",3,"Nether Quartz Dust","dustNetherQuartz,dustQuartz",""
"appliedenergistics2:material",4,"Flour","dustWheat",""
"appliedenergistics2:material",5,"Silicon","itemSilicon",""
"appliedenergistics2:material",7,"Fluix Crystal","crystalFluix",""
"appliedenergistics2:material",8,"Fluix Dust","dustFluix",""
"appliedenergistics2:material",9,"Fluix Pearl","pearlFluix",""
"appliedenergistics2:material",10,"Pure Certus Quartz Crystal","crystalPureCertusQuartz",""
"appliedenergistics2:material",11,"Pure Nether Quartz Crystal","crystalPureNetherQuartz",""
"appliedenergistics2:material",12,"Pure Fluix Crystal","crystalPureFluix",""
"appliedenergistics2:material",46,"Ender Dust","dustEnder,dustEnderPearl",""
"appliedenergistics2:material",49,"Iron Dust","dustIron",""
"appliedenergistics2:material",51,"Gold Dust","dustGold",""
"appliedenergistics2:nether_quartz_cutting_knife",0,"Nether Quartz Cutting Knife","itemQuartzKnife",""
"appliedenergistics2:nether_quartz_wrench",0,"Nether Quartz Wrench","itemQuartzWrench",""
"appliedenergistics2:part",160,"Bright Illuminated Panel","itemIlluminatedPanel",""
"appliedenergistics2:part",180,"Illuminated Panel","itemIlluminatedPanel",""
"appliedenergistics2:part",200,"Dark Illuminated Panel","itemIlluminatedPanel",""
"astralsorcery:blockcustomore",1,"Starmetal Ore","oreAstralStarmetal",""
"astralsorcery:blockcustomsandore",0,"Aquamarine Shale","oreAquamarine",""
"astralsorcery:blockmarble",0,"Marble","blockMarble,stoneMarble",""
"astralsorcery:blockmarble",1,"Marble Bricks","blockMarble,stoneMarble",""
"astralsorcery:blockmarble",2,"Marble Pillar","blockMarble,stoneMarble",""
"astralsorcery:blockmarble",3,"Marble Arch","blockMarble,stoneMarble",""
"astralsorcery:blockmarble",4,"Chiseled Marble","blockMarble,stoneMarble",""
"astralsorcery:blockmarble",5,"Engraved Marble","blockMarble,stoneMarble",""
"astralsorcery:blockmarble",6,"Runed Marble","blockMarble,stoneMarble",""
"astralsorcery:itemcraftingcomponent",0,"Aquamarine","gemAquamarine",""
"astralsorcery:itemcraftingcomponent",1,"Starmetal Ingot","ingotAstralStarmetal",""
"astralsorcery:itemcraftingcomponent",2,"Stardust","dustAstralStarmetal",""
"bhc:blue_heart",0,"Blue Heart","itemHeart",""
"bhc:green_heart",0,"Green Heart","itemHeart",""
"bhc:red_heart",0,"Red Heart","itemHeart",""
"bhc:wither_bone",0,"Wither Bone","boneWithered",""
"bhc:yellow_heart",0,"Yellow Heart","itemHeart",""
"chisel:andesite",0,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",1,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",2,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",3,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",4,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",5,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",6,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",7,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",8,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",9,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",10,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",11,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",12,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",13,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",14,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite",15,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",0,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",1,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",2,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",3,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",4,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",5,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",6,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",7,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",8,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",9,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",10,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",11,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",12,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",13,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",14,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite1",15,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:andesite2",0,"Andesite","stoneAndesite,stoneAndesitePolished",""
"chisel:basalt",0,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",1,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",2,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",3,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",4,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",5,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",6,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",7,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",8,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",9,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",10,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",11,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",12,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",13,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",14,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt",15,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt1",0,"Basalt","stoneBasalt,stoneBasaltPolished",""
"chisel:basalt1",1,"Basalt","stoneBasalt,stoneBasaltPolished",""
