"","Name","Ore Dict","Display name"
"danknull:dank_null_0","danknull:dank_null_0:0","","/dev/null/"
"danknull:dank_null_1","danknull:dank_null_1:0","","/dev/null/MK II"
"danknull:dank_null_2","danknull:dank_null_2:0","","/dev/null/MK III"
"danknull:dank_null_3","danknull:dank_null_3:0","","/dev/null/MK IV"
"danknull:dank_null_4","danknull:dank_null_4:0","","/dev/null/MK V"
"danknull:dank_null_5","danknull:dank_null_5:0","","/dev/null/MK VI"
"danknull:dank_null_6","danknull:dank_null_6:0","","/dev/null/Creative"
"danknull:dank_null_panel_0","danknull:dank_null_panel_0:0","","RedStone /dank/null Panel"
"danknull:dank_null_panel_1","danknull:dank_null_panel_1:0","","Lapis /dank/null Panel"
"danknull:dank_null_panel_2","danknull:dank_null_panel_2:0","","Iron /dank/null Panel"
"danknull:dank_null_panel_3","danknull:dank_null_panel_3:0","","Gold /dank/null Panel"
"danknull:dank_null_panel_4","danknull:dank_null_panel_4:0","","Diamond /dank/null Panel"
"danknull:dank_null_panel_5","danknull:dank_null_panel_5:0","","Emerald /dank/null Panel"
"danknull:danknull_dock","danknull:danknull_dock:0","","/dev/null Docking Station"
"ae2fc:burette","ae2fc:burette:0","","Precision Burette"
"ae2fc:dense_craft_encoded_pattern","ae2fc:dense_craft_encoded_pattern:0","","Encoded Pattern"
"ae2fc:dense_encoded_pattern","ae2fc:dense_encoded_pattern:0","","Encoded Pattern"
"ae2fc:dual_interface","ae2fc:dual_interface:0","","ME Dual Interface"
"ae2fc:fluid_assembler","ae2fc:fluid_assembler:0","","ME Fluid Assembler"
"ae2fc:fluid_discretizer","ae2fc:fluid_discretizer:0","","ME Fluid Discretizer"
"ae2fc:fluid_drop","ae2fc:fluid_drop:0","","Drop of ???"
"ae2fc:fluid_level_maintainer","ae2fc:fluid_level_maintainer:0","","ME Fluid Level Maintainer"
"ae2fc:fluid_packet","ae2fc:fluid_packet:0","","Fluid Packet"
"ae2fc:fluid_packet_decoder","ae2fc:fluid_packet_decoder:0","","ME Fluid Packet Decoder"
"ae2fc:fluid_pattern_encoder","ae2fc:fluid_pattern_encoder:0","","Fluid Pattern Encoder"
"ae2fc:ingredient_buffer","ae2fc:ingredient_buffer:0","","Ingredient Buffer"
"ae2fc:large_ingredient_buffer","ae2fc:large_ingredient_buffer:0","","Large Ingredient Buffer"
"ae2fc:large_item_encoded_pattern","ae2fc:large_item_encoded_pattern:0","","Encoded Pattern"
